;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS SA;A28141935;MAJADAHONDA;ESPANA;U1;31/12/2020;5.046.511
2.;ALCAMPO SAU;A28581882;MADRID;ESPANA;U2;31/12/2020;3.349.271
3.;AHORRAMAS, SA;A28600278;VELILLA DE SAN ANTONIO;ESPANA;U2;31/12/2020;1.805.559
4.;GALP ENERGIA ESPAÑA SAU;A28559573;ALCOBENDAS;ESPANA;U1;31/12/2020;1.724.493
5.;HIPERCOR SA (EXTINGUIDA);A28642866;MADRID;ESPANA;U1;29/02/2016;1.587.087
6.;INDRA SISTEMAS, SOCIEDAD ANONIMA;A28599033;ALCOBENDAS;ESPANA;U2;31/12/2021;1.080.125
7.;FORUM FILATELICO SA (EN LIQUIDACION);A28578078;MADRID;ESPANA;U2;31/12/2004;841.343
8.;ROVI PHARMA INDUSTRIAL SERVICES SA.;A28583912;ALCALA DE HENARES;ESPANA;U1;31/12/2021;453.872
9.;BBVA ASSET MANAGEMENT SA SGIIC;A28597854;MADRID;ESPANA;U1;31/12/2020;448.349
10.;LACTEAS GARCIA BAQUERO SOCIEDAD ANONIMA;A13010004;ALCAZAR DE SAN JUAN;ESPANA;U2;31/12/2017;402.541
11.;BNP PARIBAS SA SUCURSAL EN ESPAÑA;W0011117I;MADRID;ESPANA;U2;31/12/2021;397.171
12.;INMOBILIARIA COLONIAL SA (EXTINGUIDA);A08061426;BARCELONA;ESPANA;U2;31/12/2005;365.426
13.;CS ESTABLIMENTS DE PROXIMITAT SL (EXTINGUIDA);B08564874;MONTCADA I REIXAC;ESPANA;U1;31/12/2014;364.565
14.;S.C. LTDA BAJO DUERO;F49006554;MORALEJA DEL VINO;ESPANA;U1;31/12/2021;360.642
15.;SUPERMERCADOS ERCORECA SOCIEDAD ANONIMA;A48092985;BEDIA;ESPANA;U1;31/12/2021;292.243
16.;LABORATORIOS LICONSA SAU;A08576134;ALCALA DE HENARES;ESPANA;U1;31/12/2021;272.630
17.;CONSERVAS EL CIDACOS SA;A26016881;AUTOL;ESPANA;U2;31/12/2021;261.680
