;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;BANKIA SA;A14010342;VALENCIA;ESPANA;U2;31/12/2020;3.301.171
2.;MAPFRE AUTOMOVILES SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS (EXTINGUIDA);A28170496;MAJADAHONDA;ESPANA;U1;31/12/2007;2.435.628
3.;IKEA IBERICA SAU;A28812618;SAN SEBASTIAN DE LOS REYES;ESPANA;U2;31/08/2021;1.705.536
4.;FCC CONSTRUCCION SA;A28854727;BARCELONA;ESPANA;U2;31/12/2021;1.310.988
5.;CASA TARRADELLAS SA;A08800450;GURB;ESPANA;U1;31/12/2020;1.081.548
6.;GRUPO MASSIMO DUTTI SA;A78115201;ARTEIXO;ESPANA;U1;31/01/2021;712.479
7.;INETUM ESPAÑA SA.;A28855260;MADRID;ESPANA;U1;31/12/2021;658.941
8.;ERICSSON ESPAÑA SAU;A28858603;MADRID;ESPANA;U2;31/12/2021;498.968
9.;TODYMAS SA (EXTINGUIDA);A28867596;MADRID;ESPANA;U1;31/12/2007;416.973
10.;CAIXABANK ASSET MANAGEMENT SGIIC SA.;A08818965;MADRID;ESPANA;U1;31/12/2020;332.261
11.;MARELLI ESPAÑA S.A.;A08830168;LLINARS DEL VALLES;ESPANA;U2;31/12/2020;321.049
12.;COMPAÑIA LOGISTICA ACOTRAL SA;A29094679;ANTEQUERA;ESPANA;U2;31/12/2021;310.973
13.;TAKEDA FARMACEUTICA ESPAÑA SOCIEDAD ANONIMA.;A28843613;MADRID;ESPANA;U2;31/03/2021;302.971
14.;CORPORACIO CATALANA DE MITJANS AUDIOVISUALS SA.;A08849622;SANT JOAN DESPI;ESPANA;U1;31/12/2020;289.926
15.;BSH FABRICACION SA (EXTINGUIDA);A31131774;HUARTE O UHARTE;ESPANA;U1;31/12/2002;231.766
16.;PRODUCCIONES AGROPECUARIAS DEL TURIA AGROTURIA SA (EXTINGUIDA);A46223095;MASSALFASSAR;ESPANA;U1;31/12/2020;223.433
17.;AHORRA PRIX SA (EXTINGUIDA);A28867588;MADRID;ESPANA;U1;31/12/2007;218.734
18.;DOUGLAS SPAIN SOCIEDAD ANONIMA.;A28848836;MADRID;ESPANA;U1;30/09/2020;216.632
19.;DIAGEO ESPAÑA SA;A28826691;MADRID;ESPANA;U1;30/06/2021;197.809
20.;DIAGOMODA SLU  (EXTINGUIDA);B28885275;MOSTOLES;ESPANA;U1;31/12/2012;195.763
21.;NUFRI SL;B25034125;MOLLERUSSA;ESPANA;U1;31/12/2021;191.272
22.;RESTEL SA;A58481417;MADRID;ESPANA;U1;31/12/2020;155.101
23.;MAFRIGES SA;A08828303;SANT VICENÇ DE TORELLO;ESPANA;U2;31/12/2020;150.907
24.;TECNOLOGIA E INVESTIGACION FERROVIARIA SA (EXTINGUIDA);A28889483;MADRID;ESPANA;U1;31/12/2009;147.606
25.;ABB SISTEMAS INDUSTRIALES SA (EXTINGUIDA);A08801540;SANT QUIRZE DEL VALLES;ESPANA;U1;31/12/2004;144.507
26.;RECORD RENT A CAR SA (EXTINGUIDA);A12041562;COSLADA;ESPANA;U2;30/04/2010;143.068
27.;BABCOCK MISSION CRITICAL SERVICES ESPAÑA SAU;A03125010;MUTXAMEL;ESPANA;U1;31/03/2021;142.531
28.;LABORATORIO STADA SL;B28882777;SANT JUST DESVERN;ESPANA;U2;31/12/2020;137.330
29.;ALEJANDRO MIGUEL SOCIEDAD LIMITADA;B26028191;NALDA;ESPANA;U1;31/12/2020;136.483
30.;PROCLINIC SAU;A08820953;ZARAGOZA;ESPANA;U2;31/12/2020;126.078
31.;INQUIDE SA;A08822314;POLINYA;ESPANA;U1;31/12/2021;117.491
32.;DEZA CALIDAD SA;A14051585;CORDOBA;ESPANA;U2;31/12/2021;115.279
33.;COBRE LAS CRUCES SA;A28814135;GERENA;ESPANA;U1;31/12/2021;113.363
34.;CARNICAS SOLA SA  (EXTINGUIDA);A08813503;GURB;ESPANA;U1;31/12/2016;112.154
35.;TRACTAMENT I SELECCIO DE RESIDUS SA;A08800880;SANT ADRIA DE BESOS;ESPANA;U1;31/12/2021;110.051
36.;EVERSIA SA.;A30059885;MOLINA DE SEGURA;ESPANA;U1;31/12/2021;106.105
37.;UNIPLAY SA (EXTINGUIDA);A28825354;MADRID;ESPANA;U1;31/12/2007;104.980
