;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;VIDA CAIXA SAU DE SEGUROS Y REASEGUROS;A58333261;MADRID;ESPANA;U2;31/12/2021;8.522.701
2.;VEGO SUPERMERCADOS SA;A36651313;A CORUÑA;ESPANA;U1;31/01/2021;1.095.272
3.;REALE SEGUROS GENERALES SA;A78520293;MADRID;ESPANA;U1;31/12/2021;945.178
4.;DCOOP S.C. AND;F29249018;ANTEQUERA;ESPANA;U2;31/12/2020;929.036
5.;SUPERCOR SAU;A78476397;MADRID;ESPANA;U1;28/02/2022;720.189
6.;MICROSOFT IBERICA SRL;B78603495;POZUELO DE ALARCON;ESPANA;U1;30/06/2021;690.783
7.;CAIXABANK PAYMENTS EFC EP SA.;A58513318;MADRID;ESPANA;U1;31/12/2013;615.728
8.;PHILIP MORRIS SPAIN SL;B35107911;MADRID;ESPANA;U1;31/12/2021;611.761
9.;SAP ESPAÑA SISTEMAS APLICACIONES Y PRODUCTOS EN LA INFORMATICA SA;A58379629;MADRID;ESPANA;U1;31/12/2020;508.119
10.;MAN TRUCK & BUS IBERIA SAU;A78507498;COSLADA;ESPANA;U1;31/12/2021;486.017
11.;CAMPSA ESTACIONES DE SERVICIO SA;A78492782;MADRID;ESPANA;U1;31/12/2021;479.377
12.;POWER ELECTRONICS ESPAÑA SL;B46419834;LLIRIA;ESPANA;U1;31/12/2021;457.003
13.;INSTITUTO GRIFOLS SA;A58419326;PARETS DEL VALLES;ESPANA;U1;31/12/2021;448.154
14.;GRIFOLS SA;A58389123;BARCELONA;ESPANA;U2;31/12/2021;431.885
15.;TRW AUTOMOTIVE ESPANA SA (EXTINGUIDA);A58354358;PAMPLONA/IRUÑA;ESPANA;U1;31/12/2000;419.243
16.;XPO TRANSPORT SOLUTIONS SPAIN SL.;B78503406;SANTANDER;ESPANA;U1;31/12/2020;414.344
17.;IMPORTACO CASA PONS SAU;A46063889;BENIPARRELL;ESPANA;U1;31/12/2021;406.428
18.;CEFU SA;A30121115;ALHAMA DE MURCIA;ESPANA;U1;31/12/2021;369.029
19.;CARNIQUES DE JUIA SOCIEDAD ANONIMA;A17135583;JUIA;ESPANA;U1;31/12/2021;368.401
20.;GOA-INVEST SA;A15121031;ARTEIXO;ESPANA;U1;31/01/2022;352.888
21.;CHEP ESPAÑA SA;A78548419;MADRID;ESPANA;U1;30/06/2021;312.942
22.;KAO CORPORATION SA;A58408261;BARBERA DEL VALLES;ESPANA;U1;31/12/2021;302.850
23.;ARCELORMITTAL BERGARA SL (EXTINGUIDA);B48243901;BERGARA;ESPANA;U1;31/12/2008;297.446
24.;GRIFOLS MOVACO SA.;A58426008;PARETS DEL VALLES;ESPANA;U1;31/12/2021;290.919
25.;BANKINTER SEGUROS DE VIDA SA DE SEGUROS Y REASEGUROS;A78510138;ALCOBENDAS;ESPANA;U1;31/12/2021;276.887
26.;DIAGNOSTIC GRIFOLS SA;A58348517;PARETS DEL VALLES;ESPANA;U1;31/12/2021;270.982
27.;WIVAI SELECTPLACE S.A.;A58481730;BARCELONA;ESPANA;U1;31/12/2021;264.883
28.;JUAN JIMENEZ GARCIA SA;A30127849;LORCA;ESPANA;U1;31/12/2021;260.500
29.;IT NOW SA.;A58443060;BARCELONA;ESPANA;U1;31/12/2020;256.556
30.;ITALFARMACO SA;A78570611;ALCOBENDAS;ESPANA;U2;31/12/2021;256.215
31.;LECITRAILER SA;A50196070;ZARAGOZA;ESPANA;U2;31/12/2021;251.987
32.;CECOSA HIPERMERCADOS SL;B48231351;MADRID;ESPANA;U1;31/01/2021;249.440
33.;FITMAN SL;B59060715;EL PRAT DE LLOBREGAT;ESPANA;U2;31/12/2020;237.046
34.;RGA SEGUROS GENERALES RURAL SA DE SEGUROS Y REASEGUROS.;A78524683;MADRID;ESPANA;U2;31/12/2020;235.279
35.;BBVA MEDIACION OPERADOR DE BANCA-SEGUROS VINCULADO SA;A78581998;MADRID;ESPANA;U1;31/12/2021;233.976
36.;NEW HOLLAND ESPANA SA (EXTINGUIDA);A47007182;MADRID;ESPANA;U1;31/12/2000;215.864
37.;LUIS PIÑA SA;A23060288;ANDUJAR;ESPANA;U1;31/12/2021;197.112
38.;SOCIETAT CATALANA DE PETROLIS SA;A58415779;RUBI;ESPANA;U2;31/12/2021;186.311
39.;THALES ESPAÑA GRP SAU;A78634979;MADRID;ESPANA;U1;31/12/2020;183.786
40.;CONTINENTAL AUTOMOTIVE SPAIN SA;A58387887;RUBI;ESPANA;U1;31/12/2020;181.199
41.;CENTRO PORTUARIO DE EMPLEO DE VALENCIA SOCIEDAD ANONIMA.;A46426854;VALENCIA;ESPANA;U1;31/12/2021;177.874
42.;BORGES AGRICULTURAL & INDUSTRIAL NUTS, S.A. (EXTINGUIDA);A58410804;REUS;ESPANA;U2;31/05/2020;175.768
43.;THE BOSTON CONSULTING GROUP SL;B78487824;MADRID;ESPANA;U1;31/12/2021;168.485
44.;LANMOVIL SOCIEDAD ANONIMA (EXTINGUIDA);A58414368;BILBAO;ESPANA;U1;31/12/2014;167.648
45.;OLIMPIA MEDITERRANEO SA;A43110337;SALOU;ESPANA;U1;31/12/2019;167.445
46.;TIENDAS DE CONVENIENCIA SA (EXTINGUIDA);A78476389;MADRID;ESPANA;U1;28/02/2014;165.785
47.;GRUPO ANTOLIN-IRAUSA SA;A09092305;BURGOS;ESPANA;U2;31/12/2021;165.507
48.;KOSTAL ELECTRICA SA;A58391822;SENTMENAT;ESPANA;U1;31/12/2020;162.087
49.;CODYT SA;A58358177;BARCELONA;ESPANA;U1;31/12/2009;157.068
