;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
1.;JOSE ALVAREZ ARAUJO Y FAUSTINA GONZALEZ PEREIRO SO;J32015596;A ARNOIA;ESPANA;NC;;n.d.
2.;TALLERES MECANICOS LA CAÑIZA SA;A36029189;A CAÑIZA;ESPANA;U1;31/12/2021;404
3.;FRUTAS DOMINGUEZ OUBIÑA SL;B15077217;A CORUÑA;ESPANA;U1;31/12/2021;12.298
4.;TRANSPORTES AUTO RADIO SA;A15080773;A CORUÑA;ESPANA;U1;31/12/2020;11.894
5.;ANTEA IBEROLATAM SLU;B15080849;A CORUÑA;ESPANA;U1;31/12/2021;7.594
6.;OTTODISANPIETRO SA;A15078728;A CORUÑA;ESPANA;U1;31/12/2021;7.177
7.;H.G. SL (EXTINGUIDA);B15079700;A CORUÑA;ESPANA;U1;31/12/2002;6.283
8.;COLEGIO EIRIS SA;A15074644;A CORUÑA;ESPANA;U1;31/08/2021;4.474
9.;NOR-CLINER SA (EXTINGUIDA);A15079304;A CORUÑA;ESPANA;U1;31/12/2007;3.670
10.;LOPEZ ABENTE S.L. (EXTINGUIDA);B15073497;A CORUÑA;ESPANA;U1;31/12/2004;3.170
11.;PEREZ TORRES OPERACIONES PORTUARIAS LA CORUNA S.L. (EXTINGUIDA);B15077357;A CORUÑA;ESPANA;U1;31/12/2003;2.958
12.;PROMOTORA DE VIVIENDAS LA TRIGALEÑA SL (EXTINGUIDA);B15079924;A CORUÑA;ESPANA;U1;31/12/2006;2.006
13.;EXPLOSIVOS GALICIA SA;A15073950;A CORUÑA;ESPANA;U1;31/03/2016;1.711
14.;APARCAMIENTO CIUDAD SANITARIA SA;A15083538;A CORUÑA;ESPANA;U1;31/12/2021;1.680
15.;SERFITASA SL;B15079445;A CORUÑA;ESPANA;U1;31/12/2017;1.626
16.;CALVO CONDE DISTRIBUCION DE EDITORIALES SA;A15069495;A CORUÑA;ESPANA;U1;31/12/2021;1.254
17.;COMERCIAL VATAM SL;B15080013;A CORUÑA;ESPANA;U1;31/12/2021;1.167
18.;REYERO-CELEIRO SA (EN LIQUIDACION);A15051139;A CORUÑA;ESPANA;U1;31/12/2010;1.131
19.;ELECTRICIDAD SANPOR SA  (EXTINGUIDA);A15081979;A CORUÑA;ESPANA;U1;31/12/2010;1.110
20.;LOPEZ MONTES E HIJOS SA;A15079734;A CORUÑA;ESPANA;U1;31/12/2020;1.103
21.;TALLERES IGLESIAS PEREZ SL;B15080385;A CORUÑA;ESPANA;U1;31/12/2017;1.090
22.;HERCULES DE EDICIONES SL;B15078892;A CORUÑA;ESPANA;U1;31/12/2021;934
23.;JOSE QUIROGA SA;A15096324;A CORUÑA;ESPANA;U1;31/12/2009;923
24.;CANDAME SA (EXTINGUIDA);A15079478;A CORUÑA;ESPANA;U1;31/12/2010;918
25.;CORUÑESA DE INVERSIONES SL;B15080005;A CORUÑA;ESPANA;U1;31/12/2021;899
26.;RECREATIVOS CASTIÑEIRAS SL;B15081797;A CORUÑA;ESPANA;U1;31/12/2021;873
27.;CORUNESA DE PUBLICIDAD SL (EN LIQUIDACION);B15090848;A CORUÑA;ESPANA;U1;31/12/2001;831
28.;PESQUERIAS QUINTANERO SA (EXTINGUIDA);A15081938;A CORUÑA;ESPANA;U1;31/12/2001;814
29.;FLORICULTOR PATIÑO SL;B15081011;A CORUÑA;ESPANA;U1;31/12/2021;769
30.;CONSTRUCCIONES SOUTO SA;A15051949;A CORUÑA;ESPANA;U1;31/12/2017;748
31.;COMERCIAL SEMALL SL;B15076045;A CORUÑA;ESPANA;U1;31/12/2001;683
32.;VIDEO VOZ TV SA (EXTINGUIDA);A15074693;A CORUÑA;ESPANA;U1;31/12/2005;670
33.;SANTOS ARRANZ SL;B15070915;A CORUÑA;ESPANA;U1;31/12/2020;664
34.;DOMAR TALLERES NAVALES SL;B15076896;A CORUÑA;ESPANA;U1;31/12/2021;626
35.;SPEEDWAY NAUTICA SLL;B15084163;A CORUÑA;ESPANA;U1;31/12/2020;624
36.;FOTOITSU GALICIA SA;A15073125;A CORUÑA;ESPANA;U1;31/12/2004;583
37.;DEPORHOSTELERIA PLAYA CLUB SL;B15080419;A CORUÑA;ESPANA;U1;30/06/2020;581
